,Unnamed: 0_daily,TICKER,Date,Daily_Return,month_key,SP500_Return,VIX_Close,public_date,de_ratio,ptb,debt_assets,inv_turn,at_turn,rect_turn,cash_ratio,pe_inc,gpm,roe,roa,cfm,cash_debt,permno,Unnamed: 0_monthly,PERMNO,tentativeSICCD,starting_date,end_date,correct_siccd,start_of_month,end_of_month
1156,23359,AAPL,2014-09-05,0.0086627030442805,2014-09,0.005035885365550108,12.09000015258789,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1157,23360,AAPL,2014-09-08,-0.0061633402369574,2014-09,-0.003073114142502442,12.65999984741211,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1158,23361,AAPL,2014-09-09,-0.0037619085682287,2014-09,-0.006545009043329442,13.5,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1159,23362,AAPL,2014-09-10,0.0307175028665249,2014-09,0.0036460744169486414,12.880000114440918,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1160,23363,AAPL,2014-09-11,0.0042575705551202,2014-09,0.0008819054148185845,12.800000190734863,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1161,23364,AAPL,2014-09-12,0.0022677135417543,2014-09,-0.005962558462297207,13.3100004196167,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1162,23365,AAPL,2014-09-15,-0.0002953215954127,2014-09,-0.0007101514711097545,14.119999885559082,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1163,23366,AAPL,2014-09-16,-0.0075763827145755,2014-09,0.007484376300642026,12.729999542236328,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1164,23367,AAPL,2014-09-17,0.0071384849206406,2014-09,0.0012956437010964716,12.649999618530273,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1165,23368,AAPL,2014-09-18,0.0020675262778089,2014-09,0.0048911800862372345,12.029999732971191,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
