,public_date,de_ratio,ptb,debt_assets,inv_turn,at_turn,rect_turn,cash_ratio,pe_inc,gpm,roe,roa,cfm,cash_debt,TICKER,permno,Unnamed: 0,PERMNO,tentativeSICCD,starting_date,end_date,correct_siccd,start_of_month,end_of_month,month_key
0,2010-01-31,0.991,1.152,0.498,2.272,1.001,6.346,0.466,16.55,0.201,0.079,0.095,0.073,0.089,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-01-01,2010-01-31,2010-01
2,2010-02-28,0.991,1.128,0.498,2.272,1.001,6.346,0.466,16.2,0.201,0.079,0.095,0.073,0.089,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-02-01,2010-02-28,2010-02
4,2010-03-31,0.991,1.237,0.498,2.272,1.001,6.346,0.466,17.729,0.201,0.079,0.095,0.073,0.089,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-03-01,2010-03-31,2010-03
6,2010-04-30,0.897,1.197,0.473,2.312,0.987,6.314,0.545,19.821,0.195,0.067,0.086,0.067,0.089,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-04-01,2010-04-30,2010-04
8,2010-05-31,0.897,0.968,0.473,2.312,0.987,6.314,0.545,16.016,0.195,0.067,0.086,0.067,0.089,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-05-01,2010-05-31,2010-05
10,2010-06-30,0.897,0.822,0.473,2.312,0.987,6.314,0.545,13.61,0.195,0.067,0.086,0.067,0.089,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-06-01,2010-06-30,2010-06
12,2010-07-31,1.01,0.825,0.503,2.188,0.939,5.806,0.244,14.483,0.212,0.059,0.093,0.061,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-07-01,2010-07-31,2010-07
14,2010-08-31,1.01,0.754,0.503,2.188,0.939,5.806,0.244,13.241,0.212,0.059,0.093,0.061,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-08-01,2010-08-31,2010-08
16,2010-09-30,1.01,0.92,0.503,2.188,0.939,5.806,0.244,16.086,0.212,0.059,0.093,0.061,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-09-01,2010-09-30,2010-09
18,2010-10-31,0.912,1.057,0.477,2.344,0.972,6.187,0.343,17.774,0.186,0.064,0.078,0.067,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-10-01,2010-10-31,2010-10
20,2010-11-30,0.912,1.178,0.477,2.344,0.972,6.187,0.343,19.806,0.186,0.064,0.078,0.067,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-11-01,2010-11-30,2010-11
22,2010-12-31,0.912,1.332,0.477,2.344,0.972,6.187,0.343,22.153,0.186,0.064,0.078,0.067,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-12-01,2010-12-31,2010-12
24,2011-01-31,0.956,1.264,0.489,2.527,1.031,6.426,0.248,20.295,0.177,0.067,0.077,0.067,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-01-01,2011-01-31,2011-01
26,2011-02-28,0.956,1.288,0.489,2.527,1.031,6.426,0.248,20.674,0.177,0.067,0.077,0.067,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-02-01,2011-02-28,2011-02
28,2011-03-31,0.956,1.31,0.489,2.527,1.031,6.426,0.248,21.0,0.177,0.067,0.077,0.067,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-03-01,2011-03-31,2011-03
30,2011-04-30,1.02,1.184,0.505,2.695,1.077,6.464,0.163,17.36,0.173,0.074,0.082,0.07,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-04-01,2011-04-30,2011-04
32,2011-05-31,1.02,1.2,0.505,2.695,1.077,6.464,0.163,17.593,0.173,0.074,0.082,0.07,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-05-01,2011-05-31,2011-05
34,2011-06-30,1.02,1.231,0.505,2.695,1.077,6.464,0.163,18.06,0.173,0.074,0.082,0.07,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-06-01,2011-06-30,2011-06
36,2011-07-31,1.039,1.246,0.51,2.804,1.108,6.639,0.138,16.96,0.207,0.084,0.123,0.075,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-07-01,2011-07-31,2011-07
38,2011-08-31,1.039,1.002,0.51,2.804,1.108,6.639,0.138,13.636,0.207,0.084,0.123,0.075,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-08-01,2011-08-31,2011-08
40,2011-09-30,1.039,0.722,0.51,2.804,1.108,6.639,0.138,9.636,0.207,0.084,0.123,0.075,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-09-01,2011-09-30,2011-09
42,2011-10-31,1.039,0.849,0.51,2.951,1.131,6.559,0.128,11.134,0.177,0.083,0.094,0.073,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-10-01,2011-10-31,2011-10
44,2011-11-30,1.039,0.778,0.51,2.951,1.131,6.559,0.128,10.201,0.177,0.083,0.094,0.073,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-11-01,2011-11-30,2011-11
46,2011-12-31,1.039,0.813,0.51,2.951,1.131,6.559,0.128,10.709,0.177,0.083,0.094,0.073,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-12-01,2011-12-31,2011-12
48,2012-01-31,1.068,0.883,0.517,2.901,1.104,6.448,0.113,11.772,0.185,0.082,0.103,0.075,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-01-01,2012-01-31,2012-01
50,2012-02-29,1.068,0.919,0.517,2.901,1.104,6.448,0.113,12.25,0.185,0.082,0.103,0.075,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-02-01,2012-02-29,2012-02
52,2012-03-31,1.068,0.761,0.517,2.901,1.104,6.448,0.113,10.139,0.185,0.082,0.103,0.075,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-03-01,2012-03-31,2012-03
54,2012-04-30,1.18,0.621,0.541,2.874,1.061,6.532,0.106,8.351,0.192,0.082,0.11,0.076,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-04-01,2012-04-30,2012-04
56,2012-05-31,1.18,0.485,0.541,2.874,1.061,6.532,0.106,6.514,0.192,0.082,0.11,0.076,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-05-01,2012-05-31,2012-05
58,2012-06-30,1.18,0.542,0.541,2.874,1.061,6.532,0.106,7.286,0.192,0.082,0.11,0.076,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-06-01,2012-06-30,2012-06
60,2012-07-31,1.538,0.582,0.606,3.003,1.064,6.677,0.143,8.612,0.199,0.071,0.114,0.072,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-07-01,2012-07-31,2012-07
62,2012-08-31,1.538,0.61,0.606,3.003,1.064,6.677,0.143,9.018,0.199,0.071,0.114,0.072,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-08-01,2012-08-31,2012-08
64,2012-09-30,1.538,0.669,0.606,3.003,1.064,6.677,0.143,9.952,0.199,0.071,0.114,0.072,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-09-01,2012-09-30,2012-09
66,2012-10-31,1.402,0.601,0.583,2.852,1.018,6.94,0.122,8.876,0.204,0.071,0.119,0.074,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-10-01,2012-10-31,2012-10
68,2012-11-30,1.402,0.612,0.583,2.852,1.018,6.94,0.122,9.035,0.204,0.071,0.119,0.074,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-11-01,2012-11-30,2012-11
70,2012-12-31,1.402,0.739,0.583,2.852,1.018,6.94,0.122,10.988,0.204,0.071,0.119,0.074,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-12-01,2012-12-31,2012-12
72,2013-01-31,1.479,0.727,0.596,2.816,0.989,7.091,0.141,11.023,0.21,0.07,0.119,0.078,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2013-01-01,2013-01-31,2013-01
74,2013-02-28,1.479,0.678,0.596,2.816,0.989,7.091,0.141,10.275,0.21,0.07,0.119,0.078,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2013-02-01,2013-02-28,2013-02
76,2013-03-31,1.479,0.71,0.596,2.816,0.989,7.091,0.141,10.754,0.21,0.07,0.119,0.078,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2013-03-01,2013-03-31,2013-03
78,2013-04-30,1.455,0.654,0.592,2.785,0.983,7.217,0.151,10.695,0.211,0.067,0.113,0.08,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2013-04-01,2013-04-30,2013-04
80,2013-05-31,1.455,0.734,0.592,2.785,0.983,7.217,0.151,12.012,0.211,0.067,0.113,0.08,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2013-05-01,2013-05-31,2013-05
82,2013-06-30,1.455,0.805,0.592,2.785,0.983,7.217,0.151,13.162,0.211,0.067,0.113,0.08,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2013-06-01,2013-06-30,2013-06
84,2013-07-31,1.325,0.899,0.57,2.899,1.0,6.769,0.194,17.565,0.209,0.054,0.113,0.076,0.134,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2013-07-01,2013-07-31,2013-07
86,2013-08-31,1.325,0.931,0.57,2.899,1.0,6.769,0.194,18.181,0.209,0.054,0.113,0.076,0.134,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2013-08-01,2013-08-31,2013-08
88,2013-09-30,1.325,1.024,0.57,2.899,1.0,6.769,0.194,19.804,0.209,0.054,0.113,0.076,0.134,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2013-09-01,2013-09-30,2013-09
90,2013-10-31,1.353,1.068,0.575,2.784,0.983,7.172,0.184,21.529,0.211,0.052,0.113,0.078,0.134,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2013-10-01,2013-10-31,2013-10
92,2013-11-30,1.353,1.139,0.575,2.784,0.983,7.172,0.184,22.956,0.211,0.052,0.113,0.078,0.134,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2013-11-01,2013-11-30,2013-11
94,2013-12-31,1.353,1.022,0.575,2.784,0.983,7.172,0.184,20.596,0.211,0.052,0.113,0.078,0.134,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2013-12-01,2013-12-31,2013-12
97,2014-01-31,1.305,0.943,0.566,2.622,0.923,6.515,0.21,18.768,0.215,0.051,0.111,0.085,0.134,AIR,54594,11703,54594,3724,2014-01-08,,3724,2014-01-01,2014-01-31,2014-01
99,2014-02-28,1.305,1.022,0.566,2.622,0.923,6.515,0.21,20.352,0.215,0.051,0.111,0.085,0.134,AIR,54594,11703,54594,3724,2014-01-08,,3724,2014-02-01,2014-02-28,2014-02
101,2014-03-31,1.305,0.917,0.566,2.622,0.923,6.515,0.21,18.275,0.215,0.051,0.111,0.085,0.134,AIR,54594,11703,54594,3724,2014-01-08,,3724,2014-03-01,2014-03-31,2014-03
103,2014-04-30,1.265,0.907,0.558,2.434,0.867,6.083,0.25,18.369,0.223,0.049,0.114,0.091,0.134,AIR,54594,11703,54594,3724,2014-01-08,,3724,2014-04-01,2014-04-30,2014-04
105,2014-05-31,1.265,0.851,0.558,2.434,0.867,6.083,0.25,17.234,0.223,0.049,0.114,0.091,0.134,AIR,54594,11703,54594,3724,2014-01-08,,3724,2014-05-01,2014-05-31,2014-05
107,2014-06-30,1.265,0.965,0.558,2.434,0.867,6.083,0.25,19.546,0.223,0.049,0.114,0.091,0.134,AIR,54594,11703,54594,3724,2014-01-08,,3724,2014-06-01,2014-06-30,2014-06
109,2014-07-31,1.199,0.917,0.545,2.601,0.939,6.636,0.222,14.699,0.223,0.066,0.118,0.092,0.117,AIR,54594,11703,54594,3724,2014-01-08,,3724,2014-07-01,2014-07-31,2014-07
111,2014-08-31,1.199,0.944,0.545,2.601,0.939,6.636,0.222,15.137,0.223,0.066,0.118,0.092,0.117,AIR,54594,11703,54594,3724,2014-01-08,,3724,2014-08-01,2014-08-31,2014-08
113,2014-09-30,1.199,0.829,0.545,2.601,0.939,6.636,0.222,13.197,0.223,0.066,0.118,0.092,0.117,AIR,54594,11703,54594,3724,2014-01-08,,3724,2014-09-01,2014-09-30,2014-09
115,2014-10-31,1.217,0.906,0.549,1.94,0.725,5.201,0.243,15.23,0.234,0.054,0.099,0.112,0.117,AIR,54594,11703,54594,3724,2014-01-08,,3724,2014-10-01,2014-10-31,2014-10
117,2014-11-30,1.217,0.876,0.549,1.94,0.725,5.201,0.243,14.73,0.234,0.054,0.099,0.112,0.117,AIR,54594,11703,54594,3724,2014-01-08,,3724,2014-11-01,2014-11-30,2014-11
119,2014-12-31,1.217,0.947,0.549,1.94,0.725,5.201,0.243,15.966,0.234,0.054,0.099,0.112,0.117,AIR,54594,11703,54594,3724,2014-01-08,,3724,2014-12-01,2014-12-31,2014-12
121,2015-01-31,1.215,0.974,0.548,1.916,0.732,5.298,0.235,17.691,0.225,0.05,0.092,0.113,0.117,AIR,54594,11703,54594,3724,2014-01-08,,3724,2015-01-01,2015-01-31,2015-01
123,2015-02-28,1.215,1.0,0.548,1.916,0.732,5.298,0.235,18.148,0.225,0.05,0.092,0.113,0.117,AIR,54594,11703,54594,3724,2014-01-08,,3724,2015-02-01,2015-02-28,2015-02
125,2015-03-31,1.215,1.044,0.548,1.916,0.732,5.298,0.235,18.951,0.225,0.05,0.092,0.113,0.117,AIR,54594,11703,54594,3724,2014-01-08,,3724,2015-03-01,2015-03-31,2015-03
127,2015-04-30,1.221,1.111,0.55,1.95,0.73,5.506,0.205,108.0,0.211,0.037,0.077,0.106,0.117,AIR,54594,11703,54594,3724,2014-01-08,,3724,2015-04-01,2015-04-30,2015-04
129,2015-05-31,1.221,1.085,0.55,1.95,0.73,5.506,0.205,105.5,0.211,0.037,0.077,0.106,0.117,AIR,54594,11703,54594,3724,2014-01-08,,3724,2015-05-01,2015-05-31,2015-05
131,2015-06-30,1.221,1.17,0.55,1.95,0.73,5.506,0.205,113.821,0.211,0.037,0.077,0.106,0.117,AIR,54594,11703,54594,3724,2014-01-08,,3724,2015-06-01,2015-06-30,2015-06
133,2015-07-31,0.793,1.004,0.442,2.239,0.858,6.028,0.133,112.292,0.158,-0.052,0.045,0.044,-0.064,AIR,54594,11703,54594,3724,2014-01-08,,3724,2015-07-01,2015-07-31,2015-07
135,2015-08-31,0.793,0.91,0.442,2.239,0.858,6.028,0.133,101.375,0.158,-0.052,0.045,0.044,-0.064,AIR,54594,11703,54594,3724,2014-01-08,,3724,2015-08-01,2015-08-31,2015-08
137,2015-09-30,0.793,0.703,0.442,2.239,0.858,6.028,0.133,79.042,0.158,-0.052,0.045,0.044,-0.064,AIR,54594,11703,54594,3724,2014-01-08,,3724,2015-09-01,2015-09-30,2015-09
139,2015-10-31,1.037,0.834,0.509,2.223,0.855,5.925,0.154,45.38,0.144,-0.054,0.029,0.036,-0.064,AIR,54594,11703,54594,3724,2014-01-08,,3724,2015-10-01,2015-10-31,2015-10
141,2015-11-30,1.037,0.902,0.509,2.223,0.855,5.925,0.154,49.12,0.144,-0.054,0.029,0.036,-0.064,AIR,54594,11703,54594,3724,2014-01-08,,3724,2015-11-01,2015-11-30,2015-11
143,2015-12-31,1.037,0.962,0.509,2.223,0.855,5.925,0.154,52.58,0.144,-0.054,0.029,0.036,-0.064,AIR,54594,11703,54594,3724,2014-01-08,,3724,2015-12-01,2015-12-31,2015-12
145,2016-01-31,0.92,0.762,0.479,2.398,0.959,6.431,0.138,58.361,0.136,-0.061,0.026,0.02,-0.064,AIR,54594,11703,54594,3724,2014-01-08,,3724,2016-01-01,2016-01-31,2016-01
147,2016-02-29,0.92,0.772,0.479,2.398,0.959,6.431,0.138,59.139,0.136,-0.061,0.026,0.02,-0.064,AIR,54594,11703,54594,3724,2014-01-08,,3724,2016-02-01,2016-02-29,2016-02
149,2016-03-31,0.92,0.837,0.479,2.398,0.959,6.431,0.138,64.639,0.136,-0.061,0.026,0.02,-0.064,AIR,54594,11703,54594,3724,2014-01-08,,3724,2016-03-01,2016-03-31,2016-03
151,2016-04-30,0.788,0.89,0.441,2.452,1.076,6.557,0.13,17.295,0.139,-0.056,0.033,0.016,-0.064,AIR,54594,11703,54594,3724,2014-01-08,,3724,2016-04-01,2016-04-30,2016-04
153,2016-05-31,0.788,0.904,0.441,2.452,1.076,6.557,0.13,17.561,0.139,-0.056,0.033,0.016,-0.064,AIR,54594,11703,54594,3724,2014-01-08,,3724,2016-05-01,2016-05-31,2016-05
155,2016-06-30,0.788,0.865,0.441,2.452,1.076,6.557,0.13,16.791,0.139,-0.056,0.033,0.016,-0.064,AIR,54594,11703,54594,3724,2014-01-08,,3724,2016-06-01,2016-06-30,2016-06
157,2016-07-31,0.666,0.931,0.4,2.397,1.124,7.018,0.095,17.635,0.185,0.044,0.093,0.067,0.056,AIR,54594,11703,54594,3724,2014-01-08,,3724,2016-07-01,2016-07-31,2016-07
159,2016-08-31,0.666,0.949,0.4,2.397,1.124,7.018,0.095,17.964,0.185,0.044,0.093,0.067,0.056,AIR,54594,11703,54594,3724,2014-01-08,,3724,2016-08-01,2016-08-31,2016-08
161,2016-09-30,0.666,1.189,0.4,2.397,1.124,7.018,0.095,22.861,0.185,0.044,0.093,0.067,0.056,AIR,54594,11703,54594,3724,2014-01-08,,3724,2016-09-01,2016-09-30,2016-09
163,2016-10-31,0.72,1.232,0.419,2.482,1.159,6.985,0.111,32.495,0.173,0.043,0.079,0.066,0.056,AIR,54594,11703,54594,3724,2014-01-08,,3724,2016-10-01,2016-10-31,2016-10
165,2016-11-30,0.72,1.413,0.419,2.482,1.159,6.985,0.111,37.263,0.173,0.043,0.079,0.066,0.056,AIR,54594,11703,54594,3724,2014-01-08,,3724,2016-11-01,2016-11-30,2016-11
167,2016-12-31,0.72,1.271,0.419,2.482,1.159,6.985,0.111,33.384,0.173,0.043,0.079,0.066,0.056,AIR,54594,11703,54594,3724,2014-01-08,,3724,2016-12-01,2016-12-31,2016-12
169,2017-01-31,0.701,1.219,0.412,2.341,1.098,6.41,0.083,28.82,0.172,0.047,0.07,0.071,0.056,AIR,54594,11703,54594,3724,2014-01-08,,3724,2017-01-01,2017-01-31,2017-01
171,2017-02-28,0.701,1.312,0.412,2.341,1.098,6.41,0.083,31.009,0.172,0.047,0.07,0.071,0.056,AIR,54594,11703,54594,3724,2014-01-08,,3724,2017-02-01,2017-02-28,2017-02
173,2017-03-31,0.701,1.282,0.412,2.341,1.098,6.41,0.083,30.297,0.172,0.047,0.07,0.071,0.056,AIR,54594,11703,54594,3724,2014-01-08,,3724,2017-03-01,2017-03-31,2017-03
175,2017-04-30,0.682,1.351,0.406,2.339,1.099,6.298,0.054,26.27,0.166,0.052,0.063,0.073,0.056,AIR,54594,11703,54594,3724,2014-01-08,,3724,2017-04-01,2017-04-30,2017-04
177,2017-05-31,0.682,1.312,0.406,2.339,1.099,6.298,0.054,25.504,0.166,0.052,0.063,0.073,0.056,AIR,54594,11703,54594,3724,2014-01-08,,3724,2017-05-01,2017-05-31,2017-05
179,2017-06-30,0.682,1.305,0.406,2.339,1.099,6.298,0.054,25.372,0.166,0.052,0.063,0.073,0.056,AIR,54594,11703,54594,3724,2014-01-08,,3724,2017-06-01,2017-06-30,2017-06
181,2017-07-31,0.645,1.352,0.392,2.443,1.2,7.155,0.031,22.805,0.195,0.054,0.101,0.069,0.037,AIR,54594,11703,54594,3724,2014-01-08,,3724,2017-07-01,2017-07-31,2017-07
183,2017-08-31,0.645,1.304,0.392,2.443,1.2,7.155,0.031,21.988,0.195,0.054,0.101,0.069,0.037,AIR,54594,11703,54594,3724,2014-01-08,,3724,2017-08-01,2017-08-31,2017-08
185,2017-09-30,0.645,1.375,0.392,2.443,1.2,7.155,0.031,23.037,0.195,0.054,0.101,0.069,0.037,AIR,54594,11703,54594,3724,2014-01-08,,3724,2017-09-01,2017-09-30,2017-09
187,2017-10-31,0.675,1.399,0.403,2.225,1.052,5.993,0.044,23.149,0.173,0.058,0.063,0.077,0.037,AIR,54594,11703,54594,3724,2014-01-08,,3724,2017-10-01,2017-10-31,2017-10
189,2017-11-30,0.675,1.496,0.403,2.225,1.052,5.993,0.044,24.75,0.173,0.058,0.063,0.077,0.037,AIR,54594,11703,54594,3724,2014-01-08,,3724,2017-11-01,2017-11-30,2017-11
191,2017-12-31,0.675,1.418,0.403,2.225,1.052,5.993,0.044,23.387,0.173,0.058,0.063,0.077,0.037,AIR,54594,11703,54594,3724,2014-01-08,,3724,2017-12-01,2017-12-31,2017-12
193,2018-01-31,0.675,1.524,0.403,2.335,1.102,6.453,0.047,60.403,0.177,0.059,0.071,0.051,0.037,AIR,54594,11703,54594,3724,2014-01-08,,3724,2018-01-01,2018-01-31,2018-01
195,2018-02-28,0.675,1.604,0.403,2.335,1.102,6.453,0.047,63.552,0.177,0.059,0.071,0.051,0.037,AIR,54594,11703,54594,3724,2014-01-08,,3724,2018-02-01,2018-02-28,2018-02
197,2018-03-31,0.675,1.657,0.403,2.335,1.102,6.453,0.047,65.836,0.177,0.059,0.071,0.051,0.037,AIR,54594,11703,54594,3724,2014-01-08,,3724,2018-03-01,2018-03-31,2018-03
199,2018-04-30,0.664,1.615,0.399,2.433,1.133,7.057,0.066,61.857,0.185,0.077,0.078,0.069,0.037,AIR,54594,11703,54594,3724,2014-01-08,,3724,2018-04-01,2018-04-30,2018-04
201,2018-05-31,0.664,1.667,0.399,2.433,1.133,7.057,0.066,63.843,0.185,0.077,0.078,0.069,0.037,AIR,54594,11703,54594,3724,2014-01-08,,3724,2018-05-01,2018-05-31,2018-05
203,2018-06-30,0.664,1.734,0.399,2.433,1.133,7.057,0.066,66.414,0.185,0.077,0.078,0.069,0.037,AIR,54594,11703,54594,3724,2014-01-08,,3724,2018-06-01,2018-06-30,2018-06
205,2018-07-31,0.628,1.73,0.386,2.46,1.154,7.695,0.125,115.634,0.192,0.077,0.084,0.065,0.109,AIR,54594,11703,54594,3724,2014-01-08,,3724,2018-07-01,2018-07-31,2018-07
207,2018-08-31,0.628,1.703,0.386,2.46,1.154,7.695,0.125,113.829,0.192,0.077,0.084,0.065,0.109,AIR,54594,11703,54594,3724,2014-01-08,,3724,2018-08-01,2018-08-31,2018-08
209,2018-09-30,0.628,1.763,0.386,2.46,1.154,7.695,0.125,116.805,0.192,0.077,0.084,0.065,0.109,AIR,54594,11703,54594,3724,2014-01-08,,3724,2018-09-01,2018-09-30,2018-09
211,2018-10-31,0.66,1.773,0.397,2.657,1.188,8.033,0.113,86.509,0.19,0.087,0.086,0.063,0.109,AIR,54594,11703,54594,3724,2014-01-08,,3724,2018-10-01,2018-10-31,2018-10
213,2018-11-30,0.66,1.628,0.397,2.657,1.188,8.033,0.113,79.436,0.19,0.087,0.086,0.063,0.109,AIR,54594,11703,54594,3724,2014-01-08,,3724,2018-11-01,2018-11-30,2018-11
215,2018-12-31,0.66,1.394,0.397,2.657,1.188,8.033,0.113,67.891,0.19,0.087,0.086,0.063,0.109,AIR,54594,11703,54594,3724,2014-01-08,,3724,2018-12-01,2018-12-31,2018-12
217,2019-01-31,0.663,1.398,0.399,2.779,1.223,8.146,0.123,26.914,0.186,0.085,0.091,0.076,0.109,AIR,54594,11703,54594,3724,2014-01-08,,3724,2019-01-01,2019-01-31,2019-01
219,2019-02-28,0.663,1.355,0.399,2.779,1.223,8.146,0.123,26.093,0.186,0.085,0.091,0.076,0.109,AIR,54594,11703,54594,3724,2014-01-08,,3724,2019-02-01,2019-02-28,2019-02
221,2019-03-31,0.663,1.205,0.399,2.779,1.223,8.146,0.123,23.221,0.186,0.085,0.091,0.076,0.109,AIR,54594,11703,54594,3724,2014-01-08,,3724,2019-03-01,2019-03-31,2019-03
223,2019-04-30,0.679,1.317,0.404,2.843,1.264,7.72,0.131,-307.0,0.183,0.08,0.094,0.059,0.109,AIR,54594,11703,54594,3724,2014-01-08,,3724,2019-04-01,2019-04-30,2019-04
225,2019-05-31,0.679,1.173,0.404,2.843,1.264,7.72,0.131,-273.55,0.183,0.08,0.094,0.059,0.109,AIR,54594,11703,54594,3724,2014-01-08,,3724,2019-05-01,2019-05-31,2019-05
227,2019-06-30,0.679,1.434,0.404,2.843,1.264,7.72,0.131,-334.45,0.183,0.08,0.094,0.059,0.109,AIR,54594,11703,54594,3724,2014-01-08,,3724,2019-06-01,2019-06-30,2019-06
229,2019-07-31,0.675,1.609,0.403,2.955,1.349,8.9,0.115,199.333,0.181,0.091,0.101,0.062,0.11,AIR,54594,11703,54594,3724,2014-01-08,,3724,2019-07-01,2019-07-31,2019-07
231,2019-08-31,0.675,1.663,0.403,2.955,1.349,8.9,0.115,204.571,0.181,0.091,0.101,0.062,0.11,AIR,54594,11703,54594,3724,2014-01-08,,3724,2019-08-01,2019-08-31,2019-08
233,2019-09-30,0.675,1.591,0.403,2.955,1.349,8.9,0.115,196.238,0.181,0.091,0.101,0.062,0.11,AIR,54594,11703,54594,3724,2014-01-08,,3724,2019-09-01,2019-09-30,2019-09
235,2019-10-31,0.74,1.605,0.425,2.951,1.34,7.795,0.13,-417.5,0.18,0.089,0.102,0.059,0.11,AIR,54594,11703,54594,3724,2014-01-08,,3724,2019-10-01,2019-10-31,2019-10
237,2019-11-30,0.74,1.718,0.425,2.951,1.34,7.795,0.13,-446.9,0.18,0.089,0.102,0.059,0.11,AIR,54594,11703,54594,3724,2014-01-08,,3724,2019-11-01,2019-11-30,2019-11
239,2019-12-31,0.74,1.731,0.425,2.951,1.34,7.795,0.13,-451.0,0.18,0.089,0.102,0.059,0.11,AIR,54594,11703,54594,3724,2014-01-08,,3724,2019-12-01,2019-12-31,2019-12
241,2020-01-31,0.788,1.613,0.441,2.959,1.35,8.124,0.133,366.118,0.178,0.1,0.101,0.062,0.11,AIR,54594,11703,54594,3724,2014-01-08,,3724,2020-01-01,2020-01-31,2020-01
243,2020-02-29,0.788,1.309,0.441,2.959,1.35,8.124,0.133,306.6,0.178,0.1,0.101,0.062,0.11,AIR,54594,11703,54594,3724,2014-01-08,,3724,2020-02-01,2020-02-29,2020-02
245,2020-03-31,0.788,0.676,0.441,2.959,1.35,8.124,0.133,177.6,0.178,0.1,0.101,0.062,0.11,AIR,54594,11703,54594,3724,2014-01-08,,3724,2020-03-01,2020-03-31,2020-03
247,2020-04-30,0.85,0.739,0.46,2.878,1.314,8.263,0.132,15.79,0.178,0.073,0.101,0.05,0.11,AIR,54594,11703,54594,3724,2014-01-08,,3724,2020-04-01,2020-04-30,2020-04
